Name,Country,Description,Launch Date,Founders,Revenue Year 1,Revenue Year 2,Revenue Year 3,Current Status
Zenith SaaS Network 798,UAE,A leading UAE-based SaaS startup specializing in scalable and innovative solutions for the global market.,1/17/2014,"Emma Wilson, Li Wei",$315k,$997k,$4.0M,Successful
Apex Cybersecurity Nexus 799,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,11/2/2016,"David Chen, Rohan Das, Arjun Mehta",$294k,$1.7M,$2.2M,Acquired
Global Cybersecurity Hub 800,Singapore,A leading Singapore-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,9/28/2022,David Chen,$273k,$792k,$2.3M,Successful
Global HealthTech Network 801,Australia,A leading Australia-based HealthTech startup specializing in scalable and innovative solutions for the global market.,8/7/2013,Anjali Rao,$52k,$1.4M,$2.7M,Successful
Core EdTech Point 802,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,7/4/2021,Sanjay Gupta,$191k,$795k,$1.5M,Successful
Zenith BioTech Point 803,Australia,A leading Australia-based BioTech startup specializing in scalable and innovative solutions for the global market.,3/18/2011,"Vikram Singh, Arjun Mehta",$4k,$303k,$1.7M,Acquired
Global Logistics Point 805,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,1/24/2021,Elena Rossi,$460k,$1.6M,$3.4M,Successful
Apex Cybersecurity Labs 806,Australia,A leading Australia-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,10/5/2015,"Sarah Jenkins, David Chen, Arjun Mehta",$257k,$259k,$12.3M,Successful
Apex HealthTech Wave 807,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,5/22/2017,"Anjali Rao, Sarah Jenkins",$227k,$898k,$5.1M,Successful
Zenith AI/ML Labs 808,India,A leading India-based AI/ML startup specializing in scalable and innovative solutions for the global market.,7/19/2015,"Rohan Das, Li Wei, Michael O'Connor",$318k,$1.4M,$11.8M,Successful
Elite AI/ML Point 809,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,10/15/2020,Anjali Rao,$484k,$1.4M,$1.7M,Failed
Nova Logistics Systems 810,Japan,A leading Japan-based Logistics startup specializing in scalable and innovative solutions for the global market.,11/10/2017,"David Chen, Rohan Das, Aisha Khan",$255k,$1.3M,$3.1M,Successful
Smart PropTech Technologies 811,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,10/4/2014,"Michael O'Connor, Arjun Mehta, Aisha Khan",$373k,$972k,$3.2M,Successful
Quantum Logistics Hub 812,UAE,A leading UAE-based Logistics startup specializing in scalable and innovative solutions for the global market.,12/18/2012,"Elena Rossi, Priya Sharma",$259k,$1.7M,$13.7M,Acquired
Apex Cybersecurity Flow 813,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,12/15/2010,"Elena Rossi, Li Wei, Arjun Mehta",$81k,$101k,$13.9M,Successful
Apex E-commerce Wave 814,South Korea,A leading South Korea-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2/22/2010,Kavita Reddy,$115k,$2.0M,$2.4M,Successful
Nova Cybersecurity Flow 815,Germany,A leading Germany-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,12/5/2016,"Priya Sharma, Rohan Das, David Chen",$359k,$1.2M,$11.2M,Successful
Nova AgriTech Wave 816,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,12/24/2022,"Anjali Rao, Michael O'Connor, David Chen",$444k,$323k,$11.2M,Successful
NextGen PropTech Labs 817,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,6/3/2018,"Vikram Singh, Michael O'Connor, Aisha Khan",$118k,$986k,$8.0M,Acquired
Apex HealthTech Wave 818,Canada,A leading Canada-based HealthTech startup specializing in scalable and innovative solutions for the global market.,4/17/2011,"Kavita Reddy, Vikram Singh, Michael O'Connor",$169k,$720k,$14.7M,Successful
Core SaaS Labs 819,USA,A leading USA-based SaaS startup specializing in scalable and innovative solutions for the global market.,7/13/2014,"David Chen, Li Wei",$116k,$419k,$8.7M,Acquired
Smart EdTech Flow 820,France,A leading France-based EdTech startup specializing in scalable and innovative solutions for the global market.,10/1/2013,"Priya Sharma, Kavita Reddy, Michael O'Connor",$100k,$2.0M,$6.7M,Successful
NextGen SaaS Network 821,Canada,A leading Canada-based SaaS startup specializing in scalable and innovative solutions for the global market.,6/17/2013,Priya Sharma,$332k,$998k,$6.7M,Successful
Apex BioTech Point 822,USA,A leading USA-based BioTech startup specializing in scalable and innovative solutions for the global market.,6/9/2021,Kavita Reddy,$479k,$214k,$1.0M,Failed
Smart FinTech Hub 823,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,1/15/2014,"Sanjay Gupta, Kavita Reddy, Sarah Jenkins",$183k,$825k,$13.7M,Acquired
NextGen FinTech Flow 824,Japan,A leading Japan-based FinTech startup specializing in scalable and innovative solutions for the global market.,2/3/2011,Vikram Singh,$175k,$149k,$5.5M,Successful
Core SaaS Network 825,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,12/16/2016,Sarah Jenkins,$92k,$1.4M,$7.5M,Successful
Apex AI/ML Nexus 826,USA,A leading USA-based AI/ML startup specializing in scalable and innovative solutions for the global market.,5/5/2022,"David Chen, Anjali Rao, Priya Sharma",$421k,$222k,$1.5M,Successful
Quantum AI/ML Labs 827,Singapore,A leading Singapore-based AI/ML startup specializing in scalable and innovative solutions for the global market.,5/21/2019,"Arjun Mehta, Elena Rossi, Vikram Singh",$430k,$905k,$13.5M,Successful
Smart E-commerce Technologies 828,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,9/17/2021,"Vikram Singh, Arjun Mehta",$476k,$192k,$5.0M,Successful
Smart EdTech Nexus 829,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,8/22/2014,Rohan Das,$334k,$754k,$12.0M,Acquired
Smart BioTech Point 830,Brazil,A leading Brazil-based BioTech startup specializing in scalable and innovative solutions for the global market.,6/17/2018,Priya Sharma,$204k,$1.7M,$1.3M,Successful
Global CleanTech Wave 831,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,10/9/2015,"Sanjay Gupta, Rohan Das",$100k,$365k,$3.7M,Successful
Apex AgriTech Network 832,Australia,A leading Australia-based AgriTech startup specializing in scalable and innovative solutions for the global market.,9/13/2022,"Kavita Reddy, David Chen, Arjun Mehta",$256k,$1.1M,$7.2M,Successful
Smart EdTech Systems 833,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,10/1/2020,"Sarah Jenkins, Emma Wilson, Michael O'Connor",$151k,$1.5M,$10.4M,Successful
Apex EdTech Hub 834,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,10/24/2010,Michael O'Connor,$44k,$1.0M,$14.1M,Successful
NextGen FinTech Point 837,France,A leading France-based FinTech startup specializing in scalable and innovative solutions for the global market.,4/4/2014,"Emma Wilson, Kavita Reddy",$137k,$571k,$13.0M,Successful
Prime FinTech Technologies 838,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,2/6/2012,Elena Rossi,$489k,$1.6M,$2.7M,Failed
Smart Logistics Network 839,Brazil,A leading Brazil-based Logistics startup specializing in scalable and innovative solutions for the global market.,7/28/2022,"Kavita Reddy, Michael O'Connor, Priya Sharma",$166k,$358k,$1.7M,Successful
Global Logistics Labs 840,Australia,A leading Australia-based Logistics startup specializing in scalable and innovative solutions for the global market.,6/28/2015,"Sanjay Gupta, Aisha Khan, Michael O'Connor",$380k,$737k,$4.0M,Acquired
Global AgriTech Hub 842,India,A leading India-based AgriTech startup specializing in scalable and innovative solutions for the global market.,1/14/2016,"Aisha Khan, Emma Wilson",$136k,$848k,$13.0M,Successful
Zenith SaaS Network 843,Singapore,A leading Singapore-based SaaS startup specializing in scalable and innovative solutions for the global market.,10/9/2019,"Sarah Jenkins, Arjun Mehta, Kavita Reddy",$332k,$1.5M,$3.8M,Acquired
Quantum HealthTech Labs 844,France,A leading France-based HealthTech startup specializing in scalable and innovative solutions for the global market.,5/28/2019,"Arjun Mehta, Li Wei",$380k,$2.0M,$15.0M,Successful
Apex SaaS Labs 845,India,A leading India-based SaaS startup specializing in scalable and innovative solutions for the global market.,9/1/2017,"Sarah Jenkins, Elena Rossi",$111k,$279k,$6.9M,Acquired
Core Logistics Systems 846,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,1/20/2012,Arjun Mehta,$258k,$1.0M,$6.2M,Successful
Core FinTech Technologies 847,Japan,A leading Japan-based FinTech startup specializing in scalable and innovative solutions for the global market.,1/6/2014,"Kavita Reddy, Sanjay Gupta",$164k,$613k,$3.1M,Failed
Apex EdTech Hub 848,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,8/15/2018,"Elena Rossi, Priya Sharma, Anjali Rao",$403k,$1.7M,$8.0M,Successful
Elite SaaS Network 849,UAE,A leading UAE-based SaaS startup specializing in scalable and innovative solutions for the global market.,1/17/2016,"Elena Rossi, Priya Sharma",$10k,$155k,$9.1M,Successful
Apex HealthTech Hub 850,UAE,A leading UAE-based HealthTech startup specializing in scalable and innovative solutions for the global market.,2/2/2014,"Anjali Rao, Aisha Khan, Michael O'Connor",$305k,$1.2M,$2.6M,Acquired
Smart E-commerce Hub 851,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,8/10/2010,"Rohan Das, Elena Rossi, Arjun Mehta",$311k,$473k,$6.0M,Acquired
Zenith EdTech Labs 853,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,4/27/2018,Aisha Khan,$361k,$1.3M,$1.6M,Successful
Smart Logistics Solutions 854,Canada,A leading Canada-based Logistics startup specializing in scalable and innovative solutions for the global market.,4/28/2014,"Aisha Khan, Arjun Mehta, Kavita Reddy",$42k,$1.8M,$11.1M,Successful
Smart SaaS Wave 855,Japan,A leading Japan-based SaaS startup specializing in scalable and innovative solutions for the global market.,9/14/2017,Anjali Rao,$209k,$1.0M,$13.5M,Successful
Prime AI/ML Nexus 856,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,3/1/2015,Arjun Mehta,$455k,$177k,$4.7M,Successful
Zenith BioTech Network 857,Canada,A leading Canada-based BioTech startup specializing in scalable and innovative solutions for the global market.,5/26/2016,"Vikram Singh, Sarah Jenkins",$422k,$1.1M,$1.5M,Acquired
Zenith E-commerce Point 858,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,8/26/2014,Sarah Jenkins,$228k,$1.6M,$6.1M,Failed
Core AI/ML Flow 859,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,2/16/2017,"Michael O'Connor, Sarah Jenkins, Aisha Khan",$488k,$314k,$6.5M,Successful
Smart EdTech Network 860,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,5/16/2013,"Anjali Rao, Michael O'Connor",$218k,$2.0M,$14.0M,Successful
Smart PropTech Systems 861,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,3/1/2021,"Michael O'Connor, Sarah Jenkins",$397k,$350k,$10.8M,Successful
Core HealthTech Hub 862,Japan,A leading Japan-based HealthTech startup specializing in scalable and innovative solutions for the global market.,8/1/2016,"Kavita Reddy, Vikram Singh",$425k,$208k,$10.9M,Successful
Elite HealthTech Flow 864,Australia,A leading Australia-based HealthTech startup specializing in scalable and innovative solutions for the global market.,7/20/2016,Kavita Reddy,$121k,$688k,$5.7M,Successful
Zenith FinTech Solutions 865,Brazil,A leading Brazil-based FinTech startup specializing in scalable and innovative solutions for the global market.,2/11/2022,Priya Sharma,$63k,$1.3M,$5.9M,Failed
Quantum EdTech Wave 866,Canada,A leading Canada-based EdTech startup specializing in scalable and innovative solutions for the global market.,12/7/2021,"Anjali Rao, Sarah Jenkins",$226k,$1.4M,$10.5M,Failed
Apex BioTech Wave 867,Singapore,A leading Singapore-based BioTech startup specializing in scalable and innovative solutions for the global market.,12/9/2013,"David Chen, Emma Wilson, Arjun Mehta",$309k,$747k,$10.4M,Successful
Core Cybersecurity Nexus 868,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,5/22/2014,"Michael O'Connor, Anjali Rao, Kavita Reddy",$375k,$1.6M,$8.1M,Acquired
NextGen BioTech Technologies 871,South Korea,A leading South Korea-based BioTech startup specializing in scalable and innovative solutions for the global market.,3/2/2012,Elena Rossi,$108k,$976k,$13.1M,Acquired
Quantum AgriTech Labs 872,Canada,A leading Canada-based AgriTech startup specializing in scalable and innovative solutions for the global market.,6/5/2010,David Chen,$72k,$737k,$4.0M,Successful
Smart SaaS Flow 874,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,3/12/2012,Rohan Das,$68k,$418k,$1.5M,Failed
Global PropTech Point 876,UAE,A leading UAE-based PropTech startup specializing in scalable and innovative solutions for the global market.,1/11/2013,David Chen,$369k,$1.4M,$8.7M,Failed
Elite SaaS Hub 877,Brazil,A leading Brazil-based SaaS startup specializing in scalable and innovative solutions for the global market.,5/19/2015,"Sarah Jenkins, Priya Sharma, Michael O'Connor",$147k,$1.6M,$9.3M,Successful
Global CleanTech Systems 878,Brazil,A leading Brazil-based CleanTech startup specializing in scalable and innovative solutions for the global market.,11/22/2021,Elena Rossi,$484k,$799k,$9.0M,Successful
Elite AgriTech Technologies 879,UAE,A leading UAE-based AgriTech startup specializing in scalable and innovative solutions for the global market.,11/19/2016,Michael O'Connor,$7k,$990k,$3.9M,Successful
Core BioTech Solutions 880,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/26/2018,"Rohan Das, Elena Rossi",$15k,$965k,$7.1M,Successful
Core EdTech Flow 881,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,4/19/2010,Anjali Rao,$378k,$1.6M,$4.2M,Acquired
NextGen AgriTech Wave 882,Germany,A leading Germany-based AgriTech startup specializing in scalable and innovative solutions for the global market.,12/2/2014,Michael O'Connor,$447k,$1.7M,$13.0M,Successful
Global Cybersecurity Point 883,USA,A leading USA-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,2/17/2015,"Vikram Singh, Rohan Das, Arjun Mehta",$348k,$1.4M,$7.4M,Successful
Quantum CleanTech Network 884,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,1/1/2014,"Sarah Jenkins, Michael O'Connor, Sanjay Gupta",$487k,$1.8M,$6.7M,Successful
Prime EdTech Point 885,UAE,A leading UAE-based EdTech startup specializing in scalable and innovative solutions for the global market.,1/28/2021,Sarah Jenkins,$225k,$123k,$2.9M,Successful
Quantum CleanTech Labs 886,Canada,A leading Canada-based CleanTech startup specializing in scalable and innovative solutions for the global market.,5/25/2021,"Li Wei, David Chen, Aisha Khan",$199k,$608k,$6.3M,Successful
Quantum PropTech Nexus 887,France,A leading France-based PropTech startup specializing in scalable and innovative solutions for the global market.,7/25/2010,Rohan Das,$295k,$490k,$14.0M,Successful
Zenith Cybersecurity Wave 888,USA,A leading USA-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,1/4/2022,"Sarah Jenkins, Michael O'Connor",$218k,$563k,$12.4M,Acquired
Elite SaaS Solutions 889,UK,A leading UK-based SaaS startup specializing in scalable and innovative solutions for the global market.,12/28/2013,"Priya Sharma, Vikram Singh, Emma Wilson",$212k,$1.5M,$12.4M,Successful
Global HealthTech Systems 890,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,9/28/2010,"Anjali Rao, Li Wei, Rohan Das",$371k,$2.0M,$7.9M,Successful
Apex SaaS Wave 891,Australia,A leading Australia-based SaaS startup specializing in scalable and innovative solutions for the global market.,2/21/2017,"Priya Sharma, Rohan Das, Li Wei",$463k,$721k,$2.3M,Acquired
Core EdTech Labs 892,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,3/23/2020,Vikram Singh,$465k,$445k,$7.4M,Successful
Zenith HealthTech Wave 893,USA,A leading USA-based HealthTech startup specializing in scalable and innovative solutions for the global market.,3/8/2016,Sanjay Gupta,$451k,$1.1M,$1.8M,Successful
Smart Logistics Labs 894,Singapore,A leading Singapore-based Logistics startup specializing in scalable and innovative solutions for the global market.,11/9/2016,"Priya Sharma, Li Wei, David Chen",$409k,$787k,$13.7M,Successful
Quantum SaaS Network 895,India,A leading India-based SaaS startup specializing in scalable and innovative solutions for the global market.,2/22/2021,Sarah Jenkins,$469k,$276k,$2.0M,Successful
Smart CleanTech Nexus 896,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,9/4/2014,Rohan Das,$202k,$829k,$5.7M,Failed
NextGen Cybersecurity Labs 897,Japan,A leading Japan-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,7/2/2012,Elena Rossi,$291k,$1.6M,$3.0M,Successful
Apex PropTech Flow 898,Australia,A leading Australia-based PropTech startup specializing in scalable and innovative solutions for the global market.,11/18/2020,"David Chen, Emma Wilson",$462k,$512k,$7.4M,Failed
Quantum PropTech Network 899,France,A leading France-based PropTech startup specializing in scalable and innovative solutions for the global market.,11/6/2012,Emma Wilson,$428k,$682k,$4.0M,Failed
Smart PropTech Systems 900,Canada,A leading Canada-based PropTech startup specializing in scalable and innovative solutions for the global market.,4/28/2016,Priya Sharma,$428k,$1.9M,$2.5M,Successful
Quantum BioTech Systems 901,Germany,A leading Germany-based BioTech startup specializing in scalable and innovative solutions for the global market.,11/26/2010,"Elena Rossi, Priya Sharma",$426k,$952k,$2.4M,Successful
Prime AgriTech Systems 902,Singapore,A leading Singapore-based AgriTech startup specializing in scalable and innovative solutions for the global market.,3/22/2016,Elena Rossi,$461k,$726k,$4.3M,Successful
Zenith SaaS Wave 903,Germany,A leading Germany-based SaaS startup specializing in scalable and innovative solutions for the global market.,11/10/2020,Aisha Khan,$203k,$871k,$3.4M,Successful
Quantum Cybersecurity Wave 904,Brazil,A leading Brazil-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,6/19/2018,"Li Wei, Rohan Das, Vikram Singh",$300k,$1.3M,$5.3M,Successful
NextGen CleanTech Flow 905,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,4/27/2011,"Arjun Mehta, Rohan Das",$86k,$2.0M,$12.8M,Successful
Smart CleanTech Flow 906,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,9/7/2021,"Emma Wilson, Aisha Khan, Vikram Singh",$259k,$950k,$12.1M,Successful
Prime Logistics Systems 907,South Korea,A leading South Korea-based Logistics startup specializing in scalable and innovative solutions for the global market.,1/7/2022,Emma Wilson,$458k,$1.5M,$6.3M,Successful
Core EdTech Nexus 908,Japan,A leading Japan-based EdTech startup specializing in scalable and innovative solutions for the global market.,6/5/2020,"Elena Rossi, Sarah Jenkins, Kavita Reddy",$222k,$1.9M,$1.0M,Successful
Nova E-commerce Technologies 909,India,A leading India-based E-commerce startup specializing in scalable and innovative solutions for the global market.,10/8/2013,"David Chen, Sarah Jenkins",$137k,$1.4M,$4.3M,Successful
Smart SaaS Hub 910,Canada,A leading Canada-based SaaS startup specializing in scalable and innovative solutions for the global market.,4/1/2019,Vikram Singh,$114k,$362k,$3.6M,Successful
Elite Logistics Technologies 911,UAE,A leading UAE-based Logistics startup specializing in scalable and innovative solutions for the global market.,10/19/2021,"Michael O'Connor, Sarah Jenkins, Arjun Mehta",$261k,$731k,$3.2M,Failed
Apex BioTech Wave 912,UAE,A leading UAE-based BioTech startup specializing in scalable and innovative solutions for the global market.,12/20/2019,Sarah Jenkins,$178k,$523k,$1.2M,Acquired
Smart PropTech Technologies 913,Singapore,A leading Singapore-based PropTech startup specializing in scalable and innovative solutions for the global market.,4/4/2019,Rohan Das,$233k,$1.9M,$13.6M,Acquired
Smart AI/ML Wave 915,UAE,A leading UAE-based AI/ML startup specializing in scalable and innovative solutions for the global market.,4/26/2012,"Kavita Reddy, Rohan Das, Aisha Khan",$395k,$1.3M,$12.8M,Successful
NextGen FinTech Systems 916,UAE,A leading UAE-based FinTech startup specializing in scalable and innovative solutions for the global market.,11/18/2010,"Aisha Khan, Li Wei",$495k,$208k,$8.1M,Failed
Zenith CleanTech Technologies 917,USA,A leading USA-based CleanTech startup specializing in scalable and innovative solutions for the global market.,1/6/2016,"Anjali Rao, Vikram Singh, Li Wei",$353k,$1.1M,$4.9M,Acquired
Apex AI/ML Technologies 918,UK,A leading UK-based AI/ML startup specializing in scalable and innovative solutions for the global market.,10/18/2016,"Michael O'Connor, David Chen, Arjun Mehta",$161k,$112k,$14.6M,Successful
NextGen CleanTech Wave 920,Japan,A leading Japan-based CleanTech startup specializing in scalable and innovative solutions for the global market.,3/25/2021,"Vikram Singh, Elena Rossi",$89k,$696k,$7.4M,Successful
Core Logistics Point 921,UK,A leading UK-based Logistics startup specializing in scalable and innovative solutions for the global market.,10/21/2018,David Chen,$461k,$1.2M,$14.3M,Successful
Nova AgriTech Technologies 922,Canada,A leading Canada-based AgriTech startup specializing in scalable and innovative solutions for the global market.,7/17/2022,"Vikram Singh, Aisha Khan, Sanjay Gupta",$489k,$1.4M,$2.4M,Acquired
Nova CleanTech Network 923,Germany,A leading Germany-based CleanTech startup specializing in scalable and innovative solutions for the global market.,1/4/2013,"Michael O'Connor, Sarah Jenkins",$156k,$1.7M,$7.8M,Successful
Quantum CleanTech Labs 924,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,10/19/2017,Kavita Reddy,$164k,$772k,$13.1M,Successful
Smart E-commerce Systems 925,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,10/27/2020,Sarah Jenkins,$157k,$1.5M,$6.7M,Successful
Prime E-commerce Wave 926,Singapore,A leading Singapore-based E-commerce startup specializing in scalable and innovative solutions for the global market.,2/23/2017,Emma Wilson,$492k,$1.7M,$4.1M,Failed
Zenith EdTech Point 927,Singapore,A leading Singapore-based EdTech startup specializing in scalable and innovative solutions for the global market.,8/20/2018,"Kavita Reddy, Sarah Jenkins",$93k,$751k,$3.6M,Failed
Core CleanTech Point 928,India,A leading India-based CleanTech startup specializing in scalable and innovative solutions for the global market.,9/25/2011,"Sarah Jenkins, Sanjay Gupta",$175k,$1.9M,$7.8M,Successful
Elite Cybersecurity Systems 929,India,A leading India-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,10/20/2015,"Elena Rossi, Rohan Das",$135k,$654k,$2.9M,Successful
Nova Logistics Systems 930,France,A leading France-based Logistics startup specializing in scalable and innovative solutions for the global market.,3/2/2021,Anjali Rao,$435k,$1.6M,$11.4M,Acquired
Quantum Cybersecurity Systems 931,Canada,A leading Canada-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,3/3/2021,"Priya Sharma, Sanjay Gupta",$187k,$160k,$10.5M,Successful
Zenith E-commerce Point 932,Canada,A leading Canada-based E-commerce startup specializing in scalable and innovative solutions for the global market.,12/6/2011,"Elena Rossi, Arjun Mehta",$454k,$1.4M,$4.3M,Successful
Zenith E-commerce Network 933,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,7/28/2022,"Kavita Reddy, Emma Wilson, David Chen",$164k,$971k,$3.4M,Acquired
Core AgriTech Point 934,USA,A leading USA-based AgriTech startup specializing in scalable and innovative solutions for the global market.,6/25/2016,"Sanjay Gupta, Anjali Rao",$247k,$2.0M,$8.0M,Successful
Elite AI/ML Solutions 935,Australia,A leading Australia-based AI/ML startup specializing in scalable and innovative solutions for the global market.,8/4/2021,"Li Wei, David Chen, Michael O'Connor",$239k,$787k,$5.0M,Successful
Global AgriTech Network 936,UK,A leading UK-based AgriTech startup specializing in scalable and innovative solutions for the global market.,12/21/2016,"Kavita Reddy, Aisha Khan",$58k,$1.0M,$7.1M,Successful
Zenith HealthTech Technologies 937,India,A leading India-based HealthTech startup specializing in scalable and innovative solutions for the global market.,10/8/2014,"Michael O'Connor, Sarah Jenkins",$294k,$1.8M,$3.8M,Successful
Apex EdTech Point 938,South Korea,A leading South Korea-based EdTech startup specializing in scalable and innovative solutions for the global market.,2/8/2013,"Anjali Rao, Emma Wilson, Arjun Mehta",$72k,$1.8M,$13.0M,Acquired
Global EdTech Flow 939,Australia,A leading Australia-based EdTech startup specializing in scalable and innovative solutions for the global market.,2/7/2019,"Michael O'Connor, Li Wei, Sarah Jenkins",$407k,$630k,$6.6M,Successful
Quantum HealthTech Point 940,Singapore,A leading Singapore-based HealthTech startup specializing in scalable and innovative solutions for the global market.,12/9/2016,"Rohan Das, Vikram Singh, Michael O'Connor",$30k,$522k,$12.7M,Acquired
Nova HealthTech Flow 941,France,A leading France-based HealthTech startup specializing in scalable and innovative solutions for the global market.,1/1/2022,"David Chen, Emma Wilson, Anjali Rao",$53k,$1.1M,$8.2M,Successful
NextGen HealthTech Wave 942,Canada,A leading Canada-based HealthTech startup specializing in scalable and innovative solutions for the global market.,3/15/2015,Sarah Jenkins,$258k,$491k,$7.1M,Successful
Smart SaaS Labs 943,South Korea,A leading South Korea-based SaaS startup specializing in scalable and innovative solutions for the global market.,5/28/2011,"Li Wei, Anjali Rao",$281k,$1.5M,$6.9M,Failed
Core CleanTech Wave 944,Australia,A leading Australia-based CleanTech startup specializing in scalable and innovative solutions for the global market.,10/7/2021,Emma Wilson,$43k,$479k,$4.5M,Successful
Core Cybersecurity Technologies 945,Australia,A leading Australia-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,1/5/2014,"Sanjay Gupta, Emma Wilson, Kavita Reddy",$426k,$904k,$6.3M,Successful
NextGen Cybersecurity Flow 946,UK,A leading UK-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,3/27/2015,"David Chen, Arjun Mehta",$384k,$293k,$8.9M,Acquired
Elite BioTech Nexus 947,Brazil,A leading Brazil-based BioTech startup specializing in scalable and innovative solutions for the global market.,2/23/2020,"Anjali Rao, Aisha Khan, Kavita Reddy",$377k,$621k,$1.9M,Acquired
Smart AgriTech Flow 948,South Korea,A leading South Korea-based AgriTech startup specializing in scalable and innovative solutions for the global market.,12/10/2011,"Vikram Singh, Aisha Khan, Li Wei",$179k,$1.7M,$13.5M,Failed
Global E-commerce Flow 949,France,A leading France-based E-commerce startup specializing in scalable and innovative solutions for the global market.,5/1/2015,"Rohan Das, Aisha Khan",$227k,$1.2M,$11.4M,Successful
Global E-commerce Wave 950,Japan,A leading Japan-based E-commerce startup specializing in scalable and innovative solutions for the global market.,4/28/2013,"Li Wei, Michael O'Connor",$134k,$933k,$11.7M,Successful
Global PropTech Labs 951,Japan,A leading Japan-based PropTech startup specializing in scalable and innovative solutions for the global market.,1/23/2010,Rohan Das,$385k,$1.1M,$13.3M,Acquired
Core Cybersecurity Network 952,South Korea,A leading South Korea-based Cybersecurity startup specializing in scalable and innovative solutions for the global market.,6/1/2016,"Arjun Mehta, Anjali Rao, Michael O'Connor",$178k,$116k,$13.9M,Successful
Zenith HealthTech Nexus 954,UK,A leading UK-based HealthTech startup specializing in scalable and innovative solutions for the global market.,11/23/2020,Rohan Das,$500k,$1.3M,$6.4M,Successful
Global E-commerce Technologies 955,USA,A leading USA-based E-commerce startup specializing in scalable and innovative solutions for the global market.,10/14/2014,"Aisha Khan, Sanjay Gupta, Arjun Mehta",$124k,$639k,$4.4M,Successful
Smart CleanTech Point 956,Singapore,A leading Singapore-based CleanTech startup specializing in scalable and innovative solutions for the global market.,12/17/2012,Anjali Rao,$87k,$782k,$2.4M,Failed
